match_id,duration,start_time,radiant_score,dire_score,radiant_win
5897012047,1558,1616213172,42,17,True
5896932279,2517,1616209209,44,20,True
5896874633,2195,1616205974,38,27,True
5896826192,1320,1616202722,29,12,True
5896799824,1364,1616200639,9,32,False
5896782193,1345,1616199323,7,32,False
5896744416,2287,1616196541,39,24,True
5896730191,2583,1616195052,27,41,False
5896685571,2303,1616192056,33,18,True
5896684110,947,1616191833,20,5,True
5896635696,1817,1616188574,17,31,False
5896550936,1947,1616184117,28,15,True
5895868559,2235,1616160828,28,11,True
5895743576,2661,1616156760,19,30,False
5895700637,3023,1616155329,38,32,True
5895631949,1579,1616153756,23,5,True
5895611559,2059,1616152169,18,32,False
5895571941,2051,1616150367,27,10,True
5895548305,2099,1616149438,14,33,False
5895485886,1837,1616146743,40,13,True
5895475198,1849,1616146007,7,28,False
5895474788,1122,1616146025,11,35,False
5895474021,2433,1616145822,36,20,True
5895422503,1900,1616143227,49,21,True
5895421242,1290,1616143224,3,27,False
5895415941,2214,1616142895,31,24,True
5895387228,1754,1616141670,17,21,False
5895383034,3300,1616141252,34,39,True
5895371421,1043,1616140743,5,20,False
5895330554,2327,1616139021,26,30,False
5895314378,2595,1616137680,40,34,True
5895297700,2416,1616136860,18,33,False
5895246595,2488,1616133882,30,15,True
5895246039,1571,1616133696,10,28,False
5895188753,2072,1616130105,38,22,True
5895042262,3024,1616120764,23,44,False
5894992053,1942,1616117119,45,28,True
5894973390,1770,1616115478,31,19,True
5894941655,2735,1616112619,28,36,False
5894933817,2199,1616111885,42,20,True
5894923413,2058,1616110857,26,40,False
5894898041,2214,1616108477,17,28,False
5894873238,2301,1616106613,31,16,True
5894855493,1140,1616104927,30,10,True
5894817379,1640,1616102195,8,22,False
5894739776,2506,1616097656,32,28,False
5893949377,3311,1616069978,42,36,True
5893820978,2801,1616065621,33,40,False
5893777659,1639,1616063707,21,34,False
5893732912,1655,1616061692,10,24,False
5893692282,2177,1616060157,38,26,True
5893691935,2392,1616059745,40,20,True
5893654430,1010,1616057847,21,2,True
5893654350,2418,1616058041,13,33,False
